query,lat,lon
Debrecen Plant, Debrecen, Hungary,47.5687614,21.5248064
Dingolfing Plant (iX/i5/i7), Dingolfing, Germany,48.6300801,12.4977434
Leipzig Plant (i models), Leipzig, Germany,51.3406321,12.3747329
Munich Plant (i4), Munich, Germany,48.1371079,11.5753822
Regensburg Plant (iX1), Regensburg, Germany,49.0195333,12.0974869
Shenyang – Tiexi/Dadong (BMW Brilliance), Shenyang, China,41.8026095,123.4279105
Spartanburg Plant (BEV prep), Spartanburg, USA,34.9498007,-81.9320157
Camaçari Plant, Camaçari (Bahia), Brazil,-12.6605045,-38.3189402
Changsha Plant, Changsha, China,28.1988359,113.1073313
Changzhou Plant, Changzhou, China,31.9594385,119.9930016
Hefei Plant, Hefei, China,31.8042709,117.508447
Jinan Plant, Jinan, China,36.6519754,117.1138479
Rayong Plant, Rayong, Thailand,12.7536829,101.1638165
Pingshan Complex, Shenzhen, China,22.5445741,114.0545429
Hungary Plant (Szeged), Szeged, Hungary,46.2546312,20.1486016
Xi’an Plant, Xi'an, China,36.6928981,109.676797
Zhengzhou Plant, Zhengzhou, China,34.7072067,113.7547922
Kansas City Assembly (E‑Transit), Claycomo (Kansas City), USA,39.1994028,-94.4792175
Cologne EV Center, Cologne, Germany,50.938361,6.959974
Cuautitlán Stamping & Assembly (Mach‑E), Cuautitlán, Mexico,19.7055182,-99.1666257
Rouge Electric Vehicle Center, Dearborn, USA,42.3222599,-83.1763145
Oakville Electric Vehicle Complex, Oakville, Canada,43.447436,-79.666672
Factory ZERO (Detroit‑Hamtramck), Detroit/Hamtramck, USA,42.3815123,-83.0453415
CAMI Assembly, Ingersoll, Canada,43.037725,-80.88211
Orion Assembly, Orion Township, USA,42.7165388,-83.2594
Ramos Arizpe Complex, Ramos Arizpe, Mexico,25.9234599,-101.3128597
Spring Hill Manufacturing, Spring Hill, USA,35.7395111,-86.9627077
Kia India Plant (Anantapur), Anantapur (Andhra Pradesh), India,15.161059,77.3913642
Asan Plant (Ioniq 6 production line), Asan, South Korea,36.7899498,127.0026769
Hyundai Indonesia Plant (Cikarang), Bekasi (Cikarang), Indonesia,-6.2558275,107.1435547
Gwangju Global Motors (Joint EV assembly), Gwangju, South Korea,35.1594647,126.8515034
Kia Autoland Gwangju (EV5), Gwangju, South Korea,35.1594647,126.8515034
Kia Autoland Gwangmyeong (EV6), Gwangmyeong, South Korea,37.4402669,126.8898736
Kia Autoland Hwaseong (EV9 etc.), Hwaseong, South Korea,37.1994653,126.8312632
Jeonju Plant (E-truck & Bus), Jeonju, South Korea,35.8237631,127.1472805
Kia Mexico Plant (EV transition), Monterrey (Nuevo León), Mexico,25.6461931,-100.296032
Hyundai Motor Alabama (HMA), Montgomery (AL), USA,33.8101065,-86.8092685
Hyundai Czech Plant (Nošovice), Nošovice, Czech Republic,49.6606723,18.426381
Hyundai Brazil Plant (Piracicaba), Piracicaba, Brazil,-22.725165,-47.6493269
Metaplant America (HMGMA, under construction), Savannah (GA), USA,32.1677458,-81.1957138
HMGICS (Innovation Center Singapore), Singapore, Singapore,1.3521081,103.7100128
Hyundai Mobis EV Module Plant, Ulsan, South Korea,35.5391697,129.3119136
Ulsan Plant (EV Line & Ioniq Series), Ulsan, South Korea,35.5391697,129.3119136
Hyundai Turkey Plant (Assan Otomotiv), İzmit, Turkey,40.7721138,29.9505623
Kia Slovakia Plant (Zilina), Žilina, Slovakia,49.2234674,18.7393139
Beijing (Shunyi) Base, Beijing (Shunyi), China,40.0689102,116.5492814
Changzhou Manufacturing Base, Changzhou, China,31.8122623,119.9691539
Normal Manufacturing Plant, Normal, USA,40.5092961,-88.9843937
Gigafactory Texas, Austin, USA,30.2226102,-97.6187555
Fremont Factory, Fremont, USA,37.4935368,-121.9435609
Gigafactory Berlin‑Brandenburg, Grünheide, Germany,52.3972048,13.7948327
Gigafactory Shanghai, Shanghai, China,31.2312707,121.4700152
Chattanooga Assembly (ID.4), Chattanooga, USA,35.0457219,-85.3094883
Dresden Transparent Factory (ID.3, paused/limited), Dresden, Germany,51.0493286,13.7381437
Emden Plant (ID.7/ID.4), Emden, Germany,53.3670541,7.2058304
FAW‑VW Foshan, Foshan, China,23.0239788,113.1159558
VW Anhui (Hefei), Hefei, China,31.8665676,117.281428
SAIC‑VW Anting, Shanghai (Anting), China,31.2914909,121.1575028
Wolfsburg Plant (ID.3 line), Wolfsburg, Germany,52.4205588,10.7861682
Zwickau Vehicle Plant (ID. family), Zwickau, Germany,50.7185043,12.4939267
Guangzhou (Huangpu) Plant, Guangzhou (Huangpu), China,23.3944452,113.489243
Wuhan Plant, Wuhan, China,30.65186,114.5286282
Zhaoqing (Sihui) Plant, Zhaoqing (Sihui), China,23.3287635,112.7175378
Hsinchu Science Park Fabs, Hsinchu, Taiwan,24.8066333,120.9686833
Fab 18 (Nanke), Tainan, Taiwan,22.9912348,120.184982
Fab 15 (C. Taiwan Science Park), Taichung, Taiwan,24.163162,120.6478282
Kaohsiung Site, Kaohsiung, Taiwan,22.6203348,120.3120375
Ningde HQ Base, Ningde, Fujian, China,27.0143281,119.4385501
Liyang Base, Liyang, Jiangsu, China,31.4178958,119.4787471
Xining Base, Xining, Qinghai, China,36.824463,101.440811
Yibin Base, Yibin, Sichuan, China,28.58689,104.718661
Thuringia Plant (Arnstadt), Erfurt/Arnstadt, Thuringia, Germany,50.8467982,10.9541482
Debrecen Gigafactory, Debrecen, Hungary,47.531399,21.6259782
Suminoe Factory (Energy), Osaka, Japan,34.6937569,135.5014539
Wakayama Plant, Wakayama, Japan,34.2463664,135.1221785
